cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
CARBOPLATIN:UNC0638 (2:1 MOL/MOL),660130,CARBOPLATIN:UNC0638 (2:1 MOL/MOL),BRD-M18136176,50.0,probe,combination,EHMT1;EHMT2,inducer of DNA damage;inhibitor of EHMT2 and GLP methyltransferase,,,O=C1O[Pt]OC(=O)C11CCC1.COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
CAY10576,622913,CAY10576,BRD-K51781482,66.0,probe,kinome;outreach,IKBKE,inhibitor of IKK-epsilon,Calbiochem,401488,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC
CAY10594,411824,CAY10594,BRD-K61662457,66.0,probe,pilot-set,PLD2,inhibitor of phospholipase D2,Cayman,13207,O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1
CAY10618,632104,CAY10618,BRD-K83289131,33.0,probe,pilot-set,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,Cayman,13670,O=C(CCCCCCCn1cc(nn1)-c1cccnc1)Nc1ccccc1-c1ccccc1
CBB-1007,687721,CBB-1007,BRD-K84754008,66.0,probe,lit-search,KDM1A,inhibitor of lysine-specific demethylase 1A (LSD1),Broad Institute of MIT and Harvard,,COC(=O)c1cc(CN2CCN(CC2)C(N)=N)cc(c1)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)C(N)=N
CCT036477,417663,CCT036477,BRD-A22997170,33.0,probe,pilot-set,,inhibitor of WNT signaling by blocking beta-catenin transcription,Sigma-Aldrich,SML0151,Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1
CD-1530,375562,CD-1530,BRD-K25737009,130.0,probe,chromatin;pilot-set,RARG,agonist of retinoic acid receptor gamma,Tocris Bioscience,2554,OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2
CD-437,375256,CD-437,BRD-K28907958,37.0,probe,chromatin;pilot-set,RARG,agonist of retinoic acid receptor gamma,Sigma-Aldrich,C5865,OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
CEDIRANIB,606136,CEDIRANIB,BRD-K86930074,66.0,clinical,CTEP;kinome,FLT1;FLT4;KDR,inhibitor of VEGFRs,Selleck,S1017,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
CERANIB-2,660078,CERANIB-2,BRD-K31514534,66.0,probe,lit-search,ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B,inhibitor of ceramidase activity,Cayman,11092,COc1ccc(\C=C\C(=O)c2c(-c3ccccc3)c3ccccc3[nH]c2=O)cc1
CERULENIN,52430,CERULENIN,BRD-K52075040,150.0,probe,pilot-set,FASN;HMGCS1,inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase,Cayman,10005647,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O
CH-55,660137,CH-55,BRD-K71487808,66.0,probe,chromatin;lit-search,RARA;RARB;RARG,agonist of retinoid acid receptors,Axon Medchem,1241,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)\C=C\c1ccc(cc1)C(O)=O
CHIR-99021,347812,CHIR-99021,BRD-K16189898,80.0,probe,kinome;pilot-set,GSK3B,inhibitor of GSK3 beta,Selleck,S1263,Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
CHLORAMBUCIL,25334,CHLORAMBUCIL,BRD-K29458283,270.0,FDA,std-of-care,,DNA alkylator,Sigma-Aldrich,C0253,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
CHM-1,609674,CHM-1,BRD-K94145482,16.0,probe,pilot-set,,inhibitor of tubulin polymerization,Tocris Bioscience,3868,Fc1ccccc1-c1cc(=O)c2cc3OCOc3cc2[nH]1
CI-976,375390,CI-976,BRD-K88544581,270.0,probe,pilot-set,ACAT1,inhibitor of acetyl-CoA acetyltransferase I,Sigma-Aldrich,C3743,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
CICLOPIROX,28784,CICLOPIROX,BRD-K13044802,66.0,FDA,lit-search,RRM1,substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase,Sigma-Aldrich,C0415,Cc1cc(C2CCCCC2)n(O)c(=O)c1
CICLOSPORIN,55512,CICLOSPORIN,BRD-A38030642,33.0,FDA,pilot-set,PPID,inhibitor of calcineurin by binding to cyclophilin D,Tocris Bioscience,1101,CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
CID-5951923,267119,CID-5951923,BRD-A86956638,66.0,probe,chromatin;lit-search,KLF5,modulator of KLF5 expression,Tocris Bioscience,4446,CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O
CIL41,176181,CIL41,BRD-K05392795,160.0,probe,pilot-set,,screening hit,Columbia University,,N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1
CIL55,1788,CIL55,BRD-K46556387,10.0,probe,pilot-set,,screening hit,Columbia University,,CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1
CIL55A,609061,CIL55A,BRD-K69982010,80.0,probe,pilot-set,,screening hit,Columbia University,,CN(C)CCNC(=O)c1cc2CSc3ccc(Cl)cc3-c2s1
CIL56,100490,CIL56,BRD-K11740178,2.5,probe,pilot-set,,screening hit,Columbia University,,ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1
CIL70,183526,CIL70,BRD-K20215950,40.0,probe,pilot-set,,screening hit,Columbia University,,Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1
CIMETIDINE,26870,CIMETIDINE,BRD-K34157611,270.0,FDA,lit-search,HRH2,inhibitor of histidine receptor H2,Tocris Bioscience,0902,CN\C(NCCSCc1nc[nH]c1C)=N/C#N
CLOFARABINE,660288,CLOFARABINE,BRD-K34022604,66.0,FDA,std-of-care,,inducer of DNA damage,Selleck,S1218,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
COL-3,665914,COL-3,BRD-A59431241,66.0,clinical,outreach,,analog of tetracycline,Harvard University,,NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O
COMPOUND 1541A,411827,COMPOUND 1541A,BRD-K30064966,37.0,probe,pilot-set,CASP3;CASP6;CASP7,"activators of executioner procaspases 3, 6, and 7",WuXi AppTec,TH02435-020-1,Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12
COMPOUND 1B,62111,COMPOUND 1B,BRD-A42556028,66.0,probe,chromatin;outreach,,screening hit,Enamine Ltd.,T0503-7331,CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C
COMPOUND 23 CITRATE,417451,COMPOUND 23 CITRATE,BRD-K67112618,33.0,probe,pilot-set,,analog of natural product cortistatin,Harvard University,,CN(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H]4CC=C(c5ccc6cnccc6c5)[C@@]4(C)CC[C@H]23)C1
COMPOUND 7D-CIS,411805,COMPOUND 7D-CIS,BRD-K61829047,33.0,probe,pilot-set,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport,WuXi AppTec,TH02330-015-1,CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1
CR-1-31B,418209,CR-1-31B,BRD-K23547378,33.0,probe,pilot-set,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,Boston University,,CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
CRIZOTINIB,628603,CRIZOTINIB,BRD-K78431006,66.0,FDA,kinome;std-of-care,ALK;MET,inhibitor of c-MET and ALK,Selleck,S1068,C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl
CRIZOTINIB:PLX-4032 (2:1 MOL/MOL),660857,CRIZOTINIB:PLX-4032 (2:1 MOL/MOL),BRD-M95284333,50.0,probe,combination,ALK;MET;BRAF,inhibitor of c-MET and ALK;inhibitor of BRAF,,,C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
CUCURBITACIN I,595102,CUCURBITACIN I,BRD-A28105619,33.0,probe,chromatin;outreach,,natural product; modulator of NFKB1 and STAT3 signaling,Tocris Bioscience,1571,CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
CURCUMIN,28452,CURCUMIN,BRD-K74148702,170.0,clinical,pilot-set,,natural product; modulator of ROS; modulator of NF-kappa-B signaling,Cayman,81025,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
CYANOQUINOLINE 11,417415,CYANOQUINOLINE 11,BRD-K00088062,130.0,clinical,kinome;pilot-set,MAP3K8,inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells,WuXi AppTec,TH02434-056,Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl
CYCLOPHOSPHAMIDE,32620,CYCLOPHOSPHAMIDE,BRD-A09722536,130.0,FDA,std-of-care,,DNA alkylator,Sigma-Aldrich,C0768,ClCCN(CCCl)P1(=O)NCCCO1
CYTARABINE HYDROCHLORIDE,62690,CYTARABINE HYDROCHLORIDE,BRD-K33106058,66.0,FDA,std-of-care,,inducer of DNA damage,Selleck,S1648,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
CYTOCHALASIN B,50163,CYTOCHALASIN B,BRD-K26664453,33.0,probe,pilot-set,,inhibitor of actin polymerization,Sigma-Aldrich,C6762,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
DABRAFENIB,687954,DABRAFENIB,BRD-K09951645,66.0,clinical,CTEP;kinome,BRAF,inhibitor of BRAF,Active Biochem,A-1219,CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F
DACARBAZINE,32622,DACARBAZINE,BRD-K35520305,66.0,FDA,std-of-care,,DNA alkylator,Selleck,S1221,CN(C)\N=N\c1[nH]cnc1C(N)=O
DAPORINAD,418166,DAPORINAD,BRD-K58550667,2.0,clinical,pilot-set,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,Axon Medchem;Cayman,1279;13287,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
DARINAPARSIN,609121,DARINAPARSIN,BRD-K35723520,33.0,clinical,pilot-set,,inducer of ROS; inhibitor of microtubule assembly,Sigma-Aldrich,D2071,C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
DASATINIB,52882,DASATINIB,BRD-K49328571,66.0,FDA,CTEP;kinome;std-of-care,EPHA2;KIT;LCK;SRC;YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK",Selleck,S1021,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
DBEQ,199337,DBEQ,BRD-K59204667,66.0,probe,lit-search,VCP,inhibitor of p97 in cells,Tocris Bioscience,4417,C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
DECITABINE,347775,DECITABINE,BRD-K79254416,66.0,FDA,chromatin;CTEP;std-of-care,DNMT1,inhibitor of DNA methyltransferase,Selleck,S1200,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
DECITABINE:CARBOPLATIN (1:1 MOL/MOL),660250,DECITABINE:CARBOPLATIN (1:1 MOL/MOL),BRD-M60251345,66.0,probe,combination,DNMT1,inhibitor of DNA methyltransferase;inducer of DNA damage,,,O=C1O[Pt]OC(=O)C11CCC1.Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
DECITABINE:NAVITOCLAX (2:1 MOL/MOL),660180,DECITABINE:NAVITOCLAX (2:1 MOL/MOL),BRD-M43399311,50.0,probe,combination,DNMT1;BCL2;BCL2L1;BCL2L2,"inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",,,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
DEXAMETHASONE,277354,DEXAMETHASONE,BRD-A35108200,33.0,FDA,pilot-set,NR3C1,agonist of glucocorticoid receptor,ChemDiv Inc.,R092-0055,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
DINACICLIB,687578,DINACICLIB,BRD-K13662825,66.0,clinical,chromatin;CTEP;kinome,CDK1;CDK2;CDK5;CDK9,inhibitor of cyclin-dependent kinases,Selleck,S2678,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO
DOCETAXEL,660364,DOCETAXEL,BRD-A05821830,66.0,FDA,std-of-care,,inhibitor of microtubule assembly,Selleck,S1148,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL),660217,DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL),BRD-M60574774,50.0,probe,combination,HSP90AA1,inhibitor of microtubule assembly;inhibitor of HSP90,,,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O.CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
DOXORUBICIN,36599,DOXORUBICIN,BRD-K92093830,66.0,FDA,std-of-care,TOP2A,inhibitor of topoisomerase II,Selleck,S1208,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL),660280,DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL),BRD-M01915239,50.0,probe,combination,TOP2A;BCL2;BCL2L1;BCL2L2,"inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W",,,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
ELCPK,609056,ELCPK,BRD-K44847641,0.4,probe,pilot-set,,screening hit,ChemDiv Inc.,G408-2080,O=S(=O)(N1CCCc2ccccc12)c1ccc(cc1)-c1cnc(o1)C1CC1
ELOCALCITOL,660319,ELOCALCITOL,BRD-A04287157,66.0,clinical,lit-search,VDR,agonist of vitamin D receptor,Axon Medchem,1676,CCC(O)(CC)\C=C\CC(C)C1=CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](F)C1=C
ENTINOSTAT,60218,ENTINOSTAT,BRD-K77908580,66.0,clinical,chromatin;CTEP;outreach,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Stanley Center for Psychiatric Research at the Broad Institute,,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
EPIGALLOCATECHIN-3-MONOGALLATE,28801,EPIGALLOCATECHIN-3-MONOGALLATE,BRD-K55591206,300.0,probe,pilot-set,,natural product,Selleck,S2250,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
ERASTIN,63578,ERASTIN,BRD-A25004090,66.0,probe,pilot-set,SLC7A11;VDAC1;VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11,Sigma-Aldrich,E7781,CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
ERISMODEGIB,636425,ERISMODEGIB,BRD-K19796430,33.0,probe,chromatin;pilot-set,,screening hit,Selleck,S2151,C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1
ERLOTINIB,52928,ERLOTINIB,BRD-K70401845,66.0,FDA,CTEP;kinome;std-of-care,EGFR;ERBB2,inhibitor of EGFR and HER2,Selleck,S1023,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
ERLOTINIB:PLX-4032 (2:1 MOL/MOL),660768,ERLOTINIB:PLX-4032 (2:1 MOL/MOL),BRD-M27152968,50.0,probe,combination,EGFR;ERBB2;BRAF,inhibitor of EGFR and HER2;inhibitor of BRAF,,,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
ETOMOXIR,660082,ETOMOXIR,BRD-K81335284,300.0,clinical,pilot-set,CPT1A,inhibitor of carnitine palmitoyltransferase,Sigma-Aldrich,E1905,OC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1
ETOPOSIDE,48589,ETOPOSIDE,BRD-K37798499,28.0,FDA,pilot-set;std-of-care,TOP2A,inhibitor of topoisomerase II,Selleck,S1225,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
ETP-46464,666716,ETP-46464,BRD-K24556407,66.0,probe,lit-search,ATM;ATR,inhibitor of serine/threonine-protein kinase ATR,Spanish National Cancer Research Centre,,CC(C)(C#N)c1ccc(cc1)N1C(=O)OCc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1
EX-527,608999,EX-527,BRD-K76964878,80.0,clinical,chromatin;pilot-set,SIRT1,inhibitor of sirtuin 1,Selleck,S1541,NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21
FGIN-1-27,61775,FGIN-1-27,BRD-K09778810,33.0,probe,pilot-set,TSPO,activator of peripheral benzodiazepine receptor/translocator protein,Tocris Bioscience,0658,CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1
FINGOLIMOD,640157,FINGOLIMOD,BRD-K88025533,66.0,FDA,lit-search,S1PR1,inhibitor of sphingosine 1-phosphate receptor,Selleck,S5002,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
FLUOROURACIL,25344,FLUOROURACIL,BRD-K24844714,130.0,FDA,std-of-care,TYMS,pyrimidine analog; inhibitor of thymidylate synthase,Selleck,S1209,Fc1c[nH]c(=O)[nH]c1=O
FLUVASTATIN,660322,FLUVASTATIN,BRD-A52530402,66.0,FDA,lit-search,HMGCR,inhibitor of HMG-CoA reductase,Tocris Bioscience,3309,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)C(c2ccccc12)c1ccc(F)cc1
FORETINIB,628607,FORETINIB,BRD-K03449891,66.0,clinical,kinome,KDR;MET,inhibitor of MET and VEGFR2,Selleck,S1111,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
FQI-1,102193,FQI-1,BRD-A91658086,33.0,probe,pilot-set,,inhibitor of LSF1-mediated transcription,Boston University,,CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12
FQI-2,609091,FQI-2,BRD-K35498412,33.0,probe,chromatin;pilot-set,,inhibitor of LSF1-mediated transcription,Boston University,,CCOc1ccccc1-c1cc(=O)[nH]c2cc3OCOc3cc12
FSC231,660079,FSC231,BRD-K24784241,270.0,probe,lit-search,PICK1,inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1),Specs,AH-034/11366495,CCOC(=O)NC(=O)C(=C\c1ccc(Cl)c(Cl)c1)\C#N
FULVESTRANT,464880,FULVESTRANT,BRD-A85667082,66.0,FDA,std-of-care,ESR1;GPER1,antagonist of the estrogen receptor,Selleck,S1191,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
FUMONISIN B1,616353,FUMONISIN B1,BRD-A63646118,500.0,probe,pilot-set,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6,inhibitor of ceramide synthase,Cayman,62580,CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(O)=O)C(O)=O)[C@H](CC(C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(O)=O)C(O)=O
GANT-61,609332,GANT-61,BRD-K09485525,66.0,probe,chromatin;lit-search,,inhibitor of hedgehog signaling pathway,Tocris Bioscience,3191,CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1
GDC-0879,606248,GDC-0879,BRD-K67578145,66.0,probe,kinome,BRAF,inhibitor of BRAF,Selleck,S1104,OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1
GDC-0941,639759,GDC-0941,BRD-K52911425,66.0,clinical,kinome,PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K kinase activity,Selleck,S1065,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1
GEFITINIB,52926,GEFITINIB,BRD-K64052750,66.0,FDA,chromatin;CTEP;kinome;std-of-care,AKT1;EGFR,inhibitor of EGFR and AKT1,Selleck,S1025,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
GEMCITABINE,411863,GEMCITABINE,BRD-K15108141,33.0,FDA,pilot-set;std-of-care,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",Selleck,S1714,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
GMX-1778,411843,GMX-1778,BRD-K47335880,0.3,clinical,pilot-set,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,WuXi AppTec;Cayman,TH-2360-010-1;11021,Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1
GOSSYPOL,25036,GOSSYPOL,BRD-K19295594,37.0,clinical,CTEP;pilot-set,BCL2;BCL2L1;LDHA;LDHB;LDHC,inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members,ChemDiv Inc.;Sigma-Aldrich,N010-0015;G8761,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
GSK-3 INHIBITOR IX,52582,GSK-3 INHIBITOR IX,BRD-K04923131,66.0,probe,kinome,,inhibitor of JAK/STAT signaling,Tocris Bioscience,3194,O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12
GSK-J4,687735,GSK-J4,BRD-K98203492,66.0,probe,chromatin;lit-search,KDM6A;KDM6B,inhibitor of lysine-specific demethylases,Tocris Bioscience,4594,CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1
GSK1059615,606471,GSK1059615,BRD-K06750613,33.0,clinical,kinome,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity,Selleck,S1360,O=C1NC(=O)\C(S1)=C\c1ccc2nccc(-c3ccncc3)c2c1
GSK2636771,668723,GSK2636771,BRD-K49215523,66.0,clinical,kinome,PIK3CB,inhibitor of PI3K catalytic subunit beta,Active Biochem,A-1230,Cc1nc2c(cc(cc2n1Cc1cccc(c1C)C(F)(F)F)N1CCOCC1)C(O)=O
GSK4112,660081,GSK4112,BRD-K78667050,66.0,probe,lit-search,NR1D1,antagonist of Rev-ErbAalpha,Tocris Bioscience,3663,CC(C)(C)OC(=O)CN(Cc1ccc(s1)[N+]([O-])=O)Cc1ccc(Cl)cc1
GSK461364,649862,GSK461364,BRD-K92428232,66.0,clinical,kinome,PLK1,inhibitor of polo-like kinase 1 (PLK1),Selleck,S2193,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F
GSK525762A,660245,GSK525762A,BRD-K08109215,66.0,probe,chromatin;lit-search,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,EMD Biosciences,401010,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12
GW-405833,375447,GW-405833,BRD-K10705233,130.0,probe,pilot-set,CNR2,partial agonist of cannabinoid receptor 2,Sigma-Aldrich,G1421,COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1
GW-843682X,348997,GW-843682X,BRD-K90382497,33.0,probe,kinome;pilot-set,PLK1;PLK3,inhibitor of PLK1 and PLK3,Axon Medchem,1131,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC
HBX-41108,679843,HBX-41108,BRD-K50501969,66.0,probe,lit-search,USP7,inhibitor of the deubiquitinase activity of USP7,Tocris Bioscience,4285,Clc1ccc-2c(c1)C(=O)c1nc(C#N)c(nc-21)C#N
